ID,SenId,Words,LID
0,0,Ai,Sin-Eng
1,0,rate,Sin-Eng
2,0,neethiya,Sin-Eng
3,0,muta,Sin-Eng
4,0,balapannethida,Sin-Eng
5,1,hi,English
6,1,Bartell,NameEntity
7,2,Short,English
8,3,Wadakma,Sin-Eng
9,3,na,Sin-Eng
10,3,",",Symbol
11,3,signal,English
12,3,na,Sin-Eng
13,3,",",Symbol
14,3,",",Symbol
15,3,",",Symbol
16,3,mathugama,NameEntity
17,4,1718892,NameEntity
18,4,13,NameEntity
19,4,සිගනල්,Eng-Sin
20,4,එන්නෙ,Sinhala
21,4,නැ,Sinhala
22,5,Gerhold,NameEntity
23,5,Routers,English
24,5,Satelites,English
25,5,Fiber,English
26,5,Line,English
27,5,😜,Symbol
28,5,හදුන්වා,Sinhala
29,5,දෙන්න,Sinhala
30,5,බලාපොරොත්තු,Sinhala
31,5,වක්,Sinhala
32,5,නැද්ද,Sinhala
33,5,😜,Symbol
34,6,අනිවා,Sinhala
35,6,හදුන්වා,Sinhala
36,6,දුන්නොත්,Sinhala
37,6,Gerhold,NameEntity
38,6,උන්,Sinhala
39,6,ගොඩ,Sinhala
40,6,තමා,Sinhala
41,7,Tnq,English
42,7,mytv,NameEntity
43,8,මට,Sinhala
44,8,මතකයි,Sinhala
45,8,!,Symbol
46,9,Nirmal,NameEntity
47,9,Sajith,NameEntity
48,9,Chamantha,NameEntity
49,9,Ranawala,NameEntity
50,10,Game,English
51,10,on,English
52,10,Gamers,English
53,10,!,Symbol
54,10,Mercantile,English
55,10,e-Sports,English
56,10,Championship,English
57,10,2017,NameEntity
58,10,powered,English
59,10,by,English
60,10,Lebsack,NameEntity
61,10,Gaming,English
62,11,Play,English
63,11,PC,English
64,11,Games,English
65,11,and,English
66,11,WIN,English
67,11,fabulous,English
68,11,gifts,English
69,11,!,Symbol
70,11,On,English
71,11,15th,English
72,11,&,English
73,11,16th,English
74,11,July,English
75,11,at,English
76,11,Maradana,NameEntity
77,11,Trace,English
78,11,Expert,English
79,11,City,English
80,11,from,English
81,11,9,NameEntity
82,11,AM,English
83,11,onwards,English
84,11,.,Symbol
85,12,Visit,English
86,12,www.Lebsack.lk/gaming,NameEntity
87,12,to,English
88,12,register,English
89,12,and,English
90,12,for,English
91,12,more,English
92,12,information,English
93,12,.,Symbol
94,12,#LebsackGaming,NameEntity
95,13,Horata,Sin-Eng
96,13,gb,English
97,13,denna,Sin-Eng
98,13,epa,Sin-Eng
99,13,manussayo,Sin-Eng
100,13,pau,Sin-Eng
101,13,😡,Symbol
102,13,😡,Symbol
103,13,😡,Symbol
104,14,These,English
105,14,Thompson,NameEntity
106,14,is,English
107,14,the,English
108,14,worst,English
109,14,service,English
110,14,provider,English
111,14,in,English
112,14,Srilanka,NameEntity
113,14,.,Symbol
114,14,Their,English
115,14,hotline,English
116,14,doesn't,English
117,14,work,English
118,14,when,English
119,14,tried,English
120,14,to,English
121,14,complain,English
122,14,about,English
123,14,internet,English
124,14,failure,English
125,15,Do,English
126,15,you,English
127,15,think,English
128,15,all,English
129,15,your,English
130,15,customers,English
131,15,are,English
132,15,idiots,English
133,15,?,Symbol
134,16,Sadu,Sin-Eng
135,16,sadu,Sin-Eng
136,16,sadu,English
137,17,Best,English
138,17,connection,English
139,17,out,English
140,17,there,English
141,17,🤗,Symbol
142,17,keep,English
143,17,up,English
144,17,the,English
145,17,good,English
146,17,work,English
147,17,👍,Symbol
148,18,Musicl,English
149,18,1,NameEntity
150,18,ndd,Sin-Eng
151,19,Router,English
152,19,ekak,Sin-Eng
153,19,ganna,Sin-Eng
154,19,obe,Sin-Eng
155,19,kohomada,Sin-Eng
156,19,ganne,Sin-Eng
157,20,Waiting,English
158,20,#Gerhold,NameEntity
159,21,How,English
160,21,can,English
161,21,get,English
162,21,a,English
163,21,new,English
164,21,connection,English
165,21,?,Symbol
166,22,Data,English
167,22,නම්,Sinhala
168,22,වටිනවා,Sinhala
169,22,ඈ,Sinhala
170,22,😘,Symbol
171,22,😘,Symbol
172,22,😘,Symbol
173,23,free,English
174,23,nedda,Sin-Eng
175,24,hey,English
176,24,i,English
177,24,was,English
178,24,a,English
179,24,pre,English
180,24,order,English
181,24,customer,English
182,24,but,English
183,24,i,English
184,24,was,English
185,24,not,English
186,24,given,English
187,24,that,English
188,24,t,English
189,24,shirt,English
190,24,.,Symbol
191,25,mayavi,NameEntity
192,25,and,English
193,25,karumpuli,NameEntity
194,26,How,English
195,26,can,English
196,26,I,English
197,26,order,English
198,26,a,English
199,26,phone,English
200,26,in,English
201,26,online,English
202,27,Gd,English
203,27,lc,English
204,27,for,English
205,27,srilankan,English
206,27,team,English
207,28,Free,English
208,28,data,English
209,28,denawada,Sin-Eng
210,29,No,English
211,29,loyalty,English
212,29,data,English
213,29,recieved,English
214,30,Ayeth,Sin-Eng
215,30,tiynwd,Sin-Eng
216,31,Biggest,English
217,31,mistake,English
218,31,is,English
219,31,taking,English
220,31,Lebsack,English
221,31,router,English
222,31,..,Symbol
223,31,same,English
224,31,thing,English
225,31,happened,English
226,31,as,English
227,31,Rubathas,NameEntity
228,31,Gunewardene,NameEntity
229,32,Thank,English
230,32,You,English
231,32,Batz,NameEntity
232,32,Love,English
233,32,u,English
234,32,so,English
235,32,much,English
236,33,ජය,Sinhala
237,33,ජය,Sinhala
238,33,වේවා,Sinhala
239,34,oyala,Sin-Eng
240,34,poddak,Sin-Eng
241,34,balanna,Sin-Eng
242,35,Bindu,Sin-Eng
243,35,bindi,Sin-Eng
244,35,tharaka,Sin-Eng
245,35,kandu,Sin-Eng
246,35,mal,Sin-Eng
247,35,vile,Sin-Eng
248,36,Srlanka,NameEntity
249,36,Bartell,NameEntity
250,37,Get,English
251,37,Ready,English
252,37,to,English
253,37,Win,English
254,37,10GB,NameEntity
255,37,#Batz,NameEntity
256,37,#BeResponsible,English
257,37,#SocialResponsiblewithBatz,English
